name,networth,country,source,rank,age,residence,citizenship,status,children,education,self_made,degree,university,longitude,latitude,combined
Amancio Ortega,77.0,Spain,Zara,11,85.0,"La Coruna, Spain",Spain,Married,3.0,,True,,,-8.3958768,43.3712091,amancio-ortega
Francoise Bettencourt Meyers & family,73.6,France,L'Oréal,12,67.0,"Paris, France",France,Married,2.0,,False,,,2.3514616,48.8566969,francoise-bettencourt-meyers
Zhong Shanshan,68.9,China,"beverages, pharmaceuticals",13,66.0,"Hangzhou, China",China,,,,True,,,120.2052342,30.2489634,zhong-shanshan
Steve Ballmer,68.7,United States,Microsoft,14,65.0,"Hunts Point, Washington",United States,Married,3.0,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",True,Bachelor of Arts/Science," Harvard University; Drop Out, Stanford University",-122.230124,47.6434321,steve-ballmer
Ma Huateng,65.8,China,internet media,15,49.0,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University",True,Bachelor of Arts/Science, Shenzhen University,114.0543297,22.555454,ma-huateng
Carlos Slim Helu & family,62.8,Mexico,telecom,16,81.0,"Mexico City, Mexico",Mexico,Widowed,6.0,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",True,Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico,-99.1331785,19.4326296,carlos-slim-helu
Alice Walton,61.8,United States,Walmart,17,71.0,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",False,Bachelor of Arts/Science, Trinity University,-97.33274590000001,32.753177,alice-walton
Jim Walton,60.2,United States,Walmart,18,72.0,"Bentonville, Arkansas",United States,Married,4.0,"Bachelor of Arts/Science, University of Arkansas",False,Bachelor of Arts/Science, University of Arkansas,-94.2088172,36.3728538,jim-walton
Rob Walton,59.5,United States,Walmart,19,76.0,"Bentonville, Arkansas",United States,Married,3.0,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",False,Doctor of Jurisprudence," Columbia University; Bachelor of Arts/Science, University of Arkansas",-94.2088172,36.3728538,rob-walton
Michael Bloomberg,59.0,United States,Bloomberg LP,20,79.0,"New York, New York",United States,In Relationship,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",-74.00601519999999,40.7127281,michael-bloomberg
Colin Zheng Huang,55.3,China,e-commerce,21,41.0,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",True,Master," University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",121.4692071,31.2322758,colin-zheng-huang
MacKenzie Scott,53.0,United States,Amazon,22,51.0,"Seattle, Washington",United States,Married,4.0,"Bachelor of Arts/Science, Princeton University",False,Bachelor of Arts/Science, Princeton University,-122.3300624,47.6038321,mackenzie-scott
Daniel Gilbert,51.9,United States,Quicken Loans,23,59.0,"Franklin, Michigan",United States,Married,5.0,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",True,Bachelor of Arts/Science," Michigan State University; LLB, Wayne State University",-83.3060432,42.5222567,daniel-gilbert
Gautam Adani & family,50.5,India,"infrastructure, commodities",24,58.0,"Ahmedabad, India",India,Married,2.0,,True,,,72.5797068,23.0216238,gautam-adani
Phil Knight & family,49.9,United States,Nike,25,83.0,"Hillsboro, Oregon",United States,Married,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",True,Master of Business Administration," Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",-122.989827,45.5228939,phil-knight
Jack Ma,48.4,China,e-commerce,26,56.0,"Hangzhou, China",China,Married,,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",True,Bachelor of Arts/Science, Hangzhou Teacher's Institute,120.2052342,30.2489634,jack-ma
Charles Koch,46.4,United States,Koch Industries,27,85.0,"Wichita, Kansas",United States,Married,2.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,Bachelor of Arts/Science," Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",-97.3375448,37.6922361,charles-koch
Julia Koch & family,46.4,United States,Koch Industries,27,59.0,"New York, New York",United States,Widowed,3.0,,False,,,-74.00601519999999,40.7127281,julia-koch
Masayoshi Son,45.4,Japan,"internet, telecom",29,63.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, University of California, Berkeley",True,Bachelor of Arts/Science," University of California, Berkeley",139.7594549,35.6828387,masayoshi-son
Michael Dell,45.1,United States,Dell computers,30,56.0,"Austin, Texas",United States,Married,4.0,"Drop Out, The University of Texas at Austin",True,Drop Out, The University of Texas at Austin,-97.74369950000001,30.2711286,michael-dell
Tadashi Yanai & family,44.1,Japan,fashion retail,31,72.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, Waseda University",True,Bachelor of Arts/Science, Waseda University,139.7594549,35.6828387,tadashi-yanai
François Pinault & family,42.3,France,luxury goods,32,84.0,"Paris, France",France,Married,3.0,"Drop Out, High School",True,Drop Out, High School,2.3514616,48.8566969,françois-pinault
David Thomson & family,41.8,Canada,media,33,63.0,"Toronto, Canada",Canada,Divorced,4.0,"Master of Arts, University of Cambridge",False,Master of Arts, University of Cambridge,-79.3839347,43.6534817,david-thomson
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,False,,,10.4234469,51.0834196,beate-heister-karl-albrecht-jr.
Wang Wei,39.0,China,package delivery,35,50.0,"Shenzhen, China",China,,,,True,,,114.0543297,22.555454,wang-wei
Miriam Adelson,38.2,United States,casinos,36,75.0,"Las Vegas, Nevada",United States,Widowed,5.0,"Bachelor of Science, Hebrew University Jerusalem",False,Bachelor of Science, Hebrew University Jerusalem,-115.148516,36.1672559,miriam-adelson
He Xiangjian,37.7,China,home appliances,37,78.0,"Foshan, China",China,Married,3.0,,True,,,113.1146335,23.0247687,he-xiangjian
Dieter Schwarz,36.9,Germany,retail,38,81.0,"Neckarsulm, Germany",Germany,Married,2.0,,False,,,9.224944300000001,49.191735,dieter-schwarz
Zhang Yiming,35.6,China,TikTok,39,37.0,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University",True,Bachelor of Engineering, Nankai University,116.3912757,39.906217,zhang-yiming
Giovanni Ferrero,35.1,Italy,"Nutella, chocolates",40,56.0,"Brussels, Belgium",Italy,Married,2.0,,False,,,4.351697,50.8465573,giovanni-ferrero
Alain Wertheimer,34.5,France,Chanel,41,72.0,"New York, New York",France,Married,3.0,,False,,,-74.00601519999999,40.7127281,alain-wertheimer
Gerard Wertheimer,34.5,France,Chanel,41,70.0,"New York, New York",France,Married,2.0,,False,,,-74.00601519999999,40.7127281,gerard-wertheimer
Li Ka-shing,33.7,Hong Kong,diversified,43,92.0,Hong Kong,Hong Kong,Widowed,2.0,"Drop Out, High School",True,Drop Out, High School,114.1628131,22.2793278,li-ka-shing
Qin Yinglin & family,33.5,China,pig breeding,44,56.0,"Nanyang, China",China,Married,,,True,,,112.5292693,33.0010496,qin-yinglin
William Lei Ding,33.0,China,online games,45,49.0,"Hangzhou, China",China,,,"Bachelor of Arts/Science, University of Electronic Science and Technology of China",True,Bachelor of Arts/Science, University of Electronic Science and Technology of China,120.2052342,30.2489634,william-lei-ding
Len Blavatnik,32.0,United States,"music, chemicals",46,63.0,"London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",True,Master of Science," Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",-0.1276474,51.5073219,len-blavatnik
Lee Shau Kee,31.7,Hong Kong,real estate,47,93.0,"Hong Kong, Hong Kong",Hong Kong,Divorced,5.0,,True,,,114.1628131,22.2793278,lee-shau-kee
Jacqueline Mars,31.3,United States,"candy, pet food",48,81.0,"The Plains, Virginia",United States,Divorced,3.0,"Bachelor of Arts/Science, Bryn Mawr College",False,Bachelor of Arts/Science, Bryn Mawr College,-77.774073,38.8624506,jacqueline-mars
John Mars,31.3,United States,"candy, pet food",48,85.0,"Jackson, Wyoming",United States,Married,3.0,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",False,Diploma," The Hotchkiss School; Bachelor of Arts/Science, Yale University",-110.761815,43.479965,john-mars
Yang Huiyan & family,29.6,China,real estate,50,39.0,"Foshan, China",China,Married,,"Bachelor of Arts/Science, Ohio State University",False,Bachelor of Arts/Science, Ohio State University,113.1146335,23.0247687,yang-huiyan
Alexey Mordashov & family,29.1,Russia,"steel, investments",51,55.0,"Moscow, Russia",Russia,Married,7.0,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",True,Bachelor of Arts/Science," Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",37.6174943,55.7504461,alexey-mordashov
Robin Zeng,28.4,Hong Kong,batteries,52,52.0,"Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences",True,Doctorate, Chinese Academy of Social Sciences,119.5432715,26.6695006,robin-zeng
Hui Ka Yan,27.7,China,real estate,53,62.0,"Shenzhen, China",China,Married,2.0,"Bachelor of Arts/Science, Wuhan U of  Science & Tec",True,Bachelor of Arts/Science, Wuhan U of  Science & Tec,114.0543297,22.555454,hui-ka-yan
Susanne Klatten,27.7,Germany,"BMW, pharmaceuticals",53,59.0,"Bad Homburg, Germany",Germany,Married,3.0,"Master of Business Administration, International Institute for Management and Development",False,Master of Business Administration, International Institute for Management and Development,8.6287451,50.2227094,susanne-klatten
Vladimir Potanin,27.0,Russia,metals,55,60.0,"Moscow, Russia",Russia,Married,7.0,"Bachelor of Arts/Science, Moscow Institute of International Relations",True,Bachelor of Arts/Science, Moscow Institute of International Relations,37.6174943,55.7504461,vladimir-potanin
Dietrich Mateschitz,26.9,Austria,Red Bull,56,76.0,"Fuschl am See, Austria",Austria,Single,1.0,"Master of Business Administration, University of Vienna",True,Master of Business Administration, University of Vienna,13.3027787,47.7963895,dietrich-mateschitz
Pang Kang,26.4,China,soy sauce,57,65.0,"Foshan, China",China,,,,True,,,113.1146335,23.0247687,pang-kang
Klaus-Michael Kuehne,26.3,Germany,shipping,58,83.0,"Schindellegi, Switzerland",Germany,Married,,,False,,,8.711202699999999,47.175612,klaus-michael-kuehne
Vladimir Lisin,26.2,Russia,"steel, transport",59,65.0,"Moscow, Russia",Russia,Married,3.0,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",True,Doctorate," Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",37.6174943,55.7504461,vladimir-lisin
Wang Xing,26.1,China,e-commerce,60,42.0,"Beijing, China",China,,,"Graduate, Tsinghua University",True,Graduate, Tsinghua University,116.3912757,39.906217,wang-xing
German Larrea Mota Velasco & family,25.9,Mexico,mining,61,67.0,"Mexico City, Mexico",Mexico,Married,,,False,,,-99.1331785,19.4326296,german-larrea-mota-velasco
Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85.0,"Milan, Italy",Italy,Married,6.0,,True,,,9.1905,45.4668,leonardo-del-vecchio
Takemitsu Takizaki,25.8,Japan,sensors,62,75.0,"Osaka, Japan",Japan,Married,,,True,,,135.490357,34.6198813,takemitsu-takizaki
Leonard Lauder,25.5,United States,Estee Lauder,64,88.0,"New York, New York",United States,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, University of Pennsylvania",False,Bachelor of Arts/Science, University of Pennsylvania,-74.00601519999999,40.7127281,leonard-lauder
Thomas Peterffy,25.0,United States,discount brokerage,65,76.0,"Palm Beach, Florida",United States,Divorced,3.0,"Drop Out, New York University",True,Drop Out, New York University,-80.4494174,26.6279798,thomas-peterffy
Vagit Alekperov,24.9,Russia,oil,66,70.0,"Moscow, Russia",Russia,Married,1.0,"Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",True,Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry,37.6174943,55.7504461,vagit-alekperov
Leonid Mikhelson,24.9,Russia,"gas, chemicals",66,65.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute",True,Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute,37.6174943,55.7504461,leonid-mikhelson
Jim Simons,24.6,United States,hedge funds,68,83.0,"East Setauket, New York",United States,Married,3.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",True,Bachelor of Arts/Science," Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",-73.10585589999999,40.9418427,jim-simons
Jiang Rensheng & family,24.4,China,vaccines,69,67.0,"Chongqing, China",China,Married,1.0,"Associate in Arts/Science, Guilin Medical University",True,Associate in Arts/Science, Guilin Medical University,106.5478767,29.5647398,jiang-rensheng
Gina Rinehart,23.6,Australia,mining,70,67.0,"Perth, Australia",Australia,Widowed,4.0,,False,,,115.8854007,-31.9938566,gina-rinehart
Rupert Murdoch & family,23.5,United States,"newspapers, TV network",71,90.0,"New York, New York",United States,Married,6.0,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",False,Bachelor of Arts/Science," Oxford University; Master of Arts, Oxford University",-74.00601519999999,40.7127281,rupert-murdoch
Shiv Nadar,23.5,India,software services,71,75.0,"Delhi, India",India,Married,1.0,"Bachelor of Arts/Science, PSG College of Technology",True,Bachelor of Arts/Science, PSG College of Technology,77.2219388,28.6517178,shiv-nadar
Zhang Zhidong,23.4,China,internet media,73,49.0,"Shenzhen, China",China,,,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology",True,Bachelor of Arts/Science," Shenzhen University; Master of Arts, South China University of Technology",114.0543297,22.555454,zhang-zhidong
Iris Fontbona & family,23.3,Chile,mining,74,78.0,"Santiago, Chile",Chile,Widowed,3.0,,False,,,-70.65045019999999,-33.4377756,iris-fontbona
Lei Jun,23.0,China,smartphones,75,51.0,"Beijing, China",China,Married,2.0,"Bachelor of Science in Engineering, Wuhan University",True,Bachelor of Science in Engineering, Wuhan University,116.3912757,39.906217,lei-jun
Zhang Yong,23.0,Singapore,restaurants,75,50.0,"Singapore, Singapore",Singapore,Married,,,True,,,103.8194992,1.357107,zhang-yong
Richard Qiangdong Liu,22.4,China,e-commerce,77,47.0,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Renmin University of China",True,Bachelor of Arts/Science, Renmin University of China,116.3912757,39.906217,richard-qiangdong-liu
Gennady Timchenko,22.0,Russia,"oil, gas",78,68.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Arts/Science, Leningrad Mechanical Institute",True,Bachelor of Arts/Science, Leningrad Mechanical Institute,37.6174943,55.7504461,gennady-timchenko
Stephen Schwarzman,21.9,United States,investments,79,74.0,"New York, New York",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Yale University",-74.00601519999999,40.7127281,stephen-schwarzman
Goh Cheng Liang,21.7,Singapore,paints,80,93.0,"Singapore, Singapore",Singapore,Widowed,3.0,,True,,,103.8194992,1.357107,goh-cheng-liang
Stefan Quandt,21.6,Germany,BMW,81,54.0,"Frankfurt, Germany",Germany,Married,1.0,"Associate in Arts/Science, Technical University of Karlsruhe",False,Associate in Arts/Science, Technical University of Karlsruhe,8.682091700000001,50.1106444,stefan-quandt
Li Xiting,21.5,Singapore,medical devices,82,70.0,"Shenzhen, China",Singapore,,,"Bachelor of Science, University of Science and Technology of China",True,Bachelor of Science, University of Science and Technology of China,114.0543297,22.555454,li-xiting
Pierre Omidyar,21.4,United States,"eBay, PayPal",83,53.0,"Honolulu, Hawaii",United States,Married,3.0,"Bachelor of Arts/Science, Tufts University",True,Bachelor of Arts/Science, Tufts University,-157.8556764,21.304547,pierre-omidyar
Stefan Persson,21.3,Sweden,H&M,84,73.0,"Stockholm, Sweden",Sweden,Married,3.0,"Associate in Arts/Science, University of Stockholm",False,Associate in Arts/Science, University of Stockholm,18.0710935,59.3251172,stefan-persson
Abigail Johnson,20.9,United States,money management,85,59.0,"Milton, Massachusetts",United States,Married,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",False,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",-71.065573,42.2501425,abigail-johnson
R. Budi Hartono,20.5,Indonesia,"banking, tobacco",86,80.0,"Kudus, Indonesia",Indonesia,Married,3.0,,False,,,110.838189,-6.8170915,r.-budi-hartono
Andrew Forrest,20.4,Australia,mining,87,59.0,"Perth, Australia",Australia,Married,3.0,"Bachelor of Arts/Science, University of Western Australia",True,Bachelor of Arts/Science, University of Western Australia,115.8854007,-31.9938566,andrew-forrest
Ray Dalio,20.3,United States,hedge funds,88,71.0,"Greenwich, Connecticut",United States,Married,4.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Long Island University",-73.6284598,41.0264862,ray-dalio
Michael Hartono,19.7,Indonesia,"banking, tobacco",89,81.0,"Kudus, Indonesia",Indonesia,Married,4.0,,False,,,110.838189,-6.8170915,michael-hartono
Li Shufu,19.7,China,automobiles,89,57.0,"Hangzhou, China",China,Married,,"Master of Science, Yanshan University",True,Master of Science, Yanshan University,120.2052342,30.2489634,li-shufu
Zhong Huijuan,19.7,China,pharmaceuticals,89,60.0,"Shanghai, China",China,Married,,"EMBA, Nanjing University",True,EMBA, Nanjing University,121.4692071,31.2322758,zhong-huijuan
Xu Hang,19.5,Hong Kong,medical devices,92,54.0,"Shenzhen, China",Hong Kong,,,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",True,EMBA," Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",114.0543297,22.555454,xu-hang
Lui Che Woo & family,19.4,Hong Kong,casinos/hotels,93,92.0,"Hong Kong, Hong Kong",Hong Kong,Married,5.0,,True,,,114.1628131,22.2793278,lui-che-woo
Emmanuel Besnier,19.1,France,cheese,94,50.0,"Laval, France",France,,,,False,,,-0.7723499,48.0710377,emmanuel-besnier
Laurene Powell Jobs & family,19.0,United States,"Apple, Disney",95,57.0,"Palo Alto, California",United States,Widowed,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",False,Master of Business Administration," Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",-122.1598465,37.4443293,laurene-powell-jobs
Eric Schmidt,18.9,United States,Google,96,66.0,"Atherton, California",United States,Married,2.0,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",True,Bachelor of Arts/Science," Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",-122.2058272,37.453773,eric-schmidt
Sun Piaoyang,18.9,China,pharmaceuticals,96,62.0,"Lianyungang, China",China,Married,1.0,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",True,Bachelor of Arts/Science," China Pharmaceutical University; Doctorate, Nanjing University",119.215813,34.5978596,sun-piaoyang
"Theo Albrecht, Jr. & family",18.8,Germany,"Aldi, Trader Joe's",98,70.0,"Mulheim an der Ruhr, Germany",Germany,,1.0,,False,,,6.8829192,51.4272925,"theo-albrecht,-jr."
Alisher Usmanov,18.4,Russia,"steel, telecom, investments",99,67.0,"Moscow, Russia",Russia,Married,,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",True,Master," Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",37.6174943,55.7504461,alisher-usmanov
Robert Pera,18.3,United States,wireless networking gear,100,43.0,"San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",True,Bachelor of Arts/Science," University of California, San Diego; Master of Science, University of California, San Diego",-121.890583,37.3361905,robert-pera
Wu Yajun,18.3,China,real estate,100,57.0,"Beijing, China",China,Divorced,1.0,Northwestern Polytechnical University,True,Northwestern Polytechnical University,,116.3912757,39.906217,wu-yajun
Fan Hongwei & family,18.2,China,petrochemicals,102,54.0,"Wujiang, China",China,Married,,,True,,,120.6406744,31.1415158,fan-hongwei
Dhanin Chearavanont,18.1,Thailand,diversified,103,82.0,"Bangkok, Thailand",Thailand,Married,5.0,,False,,,100.4930399,13.7544238,dhanin-chearavanont
Peter Woo,18.0,Hong Kong,real estate,104,74.0,"Hong Kong, Hong Kong",Hong Kong,Married,3.0,"Master of Business Administration, Columbia Business School",False,Master of Business Administration, Columbia Business School,114.1628131,22.2793278,peter-woo
Chen Bang,17.9,China,hospitals,105,55.0,"Changsha, China",China,Married,,"Master of Business Administration, Hunan University",True,Master of Business Administration, Hunan University,112.9335861,28.2302056,chen-bang
Andrey Melnichenko,17.9,Russia,"coal, fertilizers",105,49.0,"Moscow, Russia",Russia,Married,2.0,"Master of Science, Plekhanov Russian University of Economics",True,Master of Science, Plekhanov Russian University of Economics,37.6174943,55.7504461,andrey-melnichenko
Dustin Moskovitz,17.8,United States,Facebook,107,36.0,"San Francisco, California",United States,Married,,"Drop Out, Harvard University",True,Drop Out, Harvard University,-122.419906,37.7790262,dustin-moskovitz
Su Hua,17.8,China,video streaming,107,39.0,"Beijing, China",China,,,"Bachelor of Science, Tsinghua University",True,Bachelor of Science, Tsinghua University,116.3912757,39.906217,su-hua
Donald Newhouse,17.6,United States,media,109,91.0,"New York, New York",United States,Widowed,3.0,"Drop Out, Syracuse University",False,Drop Out, Syracuse University,-74.00601519999999,40.7127281,donald-newhouse
Petr Kellner,17.5,Czechia,"finance, telecommunications",110,,,Czechia,,4.0,"Bachelor of Arts/Science, University of Economics in Prague",True,Bachelor of Arts/Science, University of Economics in Prague,15.4749544,49.8167003,petr-kellner
Lee Man Tat,17.4,Hong Kong,food,111,91.0,"Hong Kong, Hong Kong",Hong Kong,Married,5.0,,False,,,114.1628131,22.2793278,lee-man-tat
Pavel Durov,17.2,Russia,messaging app,112,36.0,"Dubai, United Arab Emirates",Russia,Single,2.0,"Master of Science, Saint Petersburg State University",True,Master of Science, Saint Petersburg State University,55.1885387,25.0742823,pavel-durov
James Ratcliffe,17.0,United Kingdom,chemicals,113,68.0,"London, United Kingdom",United Kingdom,Married,,,True,,,-0.1276474,51.5073219,james-ratcliffe
Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81.0,"Zurich, Switzerland",Brazil,Married,5.0,"Bachelor of Arts/Science, Harvard University",True,Bachelor of Arts/Science, Harvard University,8.5410422,47.3744489,jorge-paulo-lemann
Reinhold Wuerth & family,16.8,Germany,fasteners,115,86.0,"Kuenzelsau, Germany",Germany,Married,3.0,,True,,,9.690151200000001,49.2803765,reinhold-wuerth
Charlene de Carvalho-Heineken & family,16.7,Netherlands,Heineken,116,66.0,"London, United Kingdom",Netherlands,Married,5.0,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",False,Bachelor of Arts/Science," Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",-0.1276474,51.5073219,charlene-de-carvalho-heineken
Radhakishan Damani,16.5,India,"retail, investments",117,66.0,"Mumbai, India",India,Married,3.0,,True,,,72.8773928,19.0759899,radhakishan-damani
Wang Chuanfu,16.3,China,"batteries, automobiles",118,55.0,"Shenzhen, China",China,Married,,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",True,Master of Science," Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",114.0543297,22.555454,wang-chuanfu
Steve Cohen,16.0,United States,hedge funds,119,64.0,"Greenwich, Connecticut",United States,Married,7.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,Bachelor of Arts/Science," University of Pennsylvania, The Wharton School",-73.6284598,41.0264862,steve-cohen
Ken Griffin,16.0,United States,hedge funds,119,52.0,"Chicago, Illinois",United States,Divorced,3.0,"Bachelor of Arts/Science, Harvard University",True,Bachelor of Arts/Science, Harvard University,-87.6244212,41.8755616,ken-griffin
Chen Zhiping,15.9,China,e-cigarettes,121,45.0,"Shenzhen, China",China,Married,,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University",True,Master," China Europe International Business School; Bachelor of Arts/Economics, Tongji University",114.0543297,22.555454,chen-zhiping
"Ernest Garcia, II.",15.9,United States,used cars,121,63.0,"Tempe, Arizona",United States,Married,,"Bachelor of Science, Stanford University",True,Bachelor of Science, Stanford University,-111.9400091,33.4255056,"ernest-garcia,-ii."
Uday Kotak,15.9,India,banking,121,62.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, University of Bombay",True,Bachelor of Arts/Science," Bombay University; Master of Business Administration, University of Bombay",72.8773928,19.0759899,uday-kotak
